detector,scenario,true_label,predicted,score,correct,latency_ms,repeat
DriftOnly,data_drift,1,1,0.6,1,58.812856674194336,9
DriftOnly,data_drift,1,1,0.6,1,59.2041015625,10
DriftOnly,data_drift,1,1,0.6,1,65.22727012634277,11
DriftOnly,data_drift,1,1,0.6,1,63.27462196350098,12
DriftOnly,data_drift,1,1,0.6,1,64.8186206817627,13
DriftOnly,data_drift,1,1,0.6,1,62.587738037109375,14
DriftOnly,data_drift,1,1,0.6,1,61.56110763549805,15
DriftOnly,data_drift,1,1,0.6,1,61.85626983642578,16
DriftOnly,data_drift,1,1,0.6,1,59.31282043457031,17
DriftOnly,data_drift,1,1,0.6,1,59.411048889160156,18
DriftOnly,data_drift,1,1,0.6,1,60.24885177612305,19
DriftOnly,noisy_features,1,1,1.0,1,59.94892120361328,0
DriftOnly,noisy_features,1,1,1.0,1,59.926748275756836,1
DriftOnly,noisy_features,1,1,1.0,1,59.57770347595215,2
DriftOnly,noisy_features,1,1,1.0,1,60.327768325805664,3
DriftOnly,noisy_features,1,1,1.0,1,61.07640266418457,4
DriftOnly,noisy_features,1,1,1.0,1,62.46781349182129,5
DriftOnly,noisy_features,1,1,1.0,1,62.27254867553711,6
DriftOnly,noisy_features,1,1,1.0,1,59.406280517578125,7
DriftOnly,noisy_features,1,1,1.0,1,60.06646156311035,8
DriftOnly,noisy_features,1,1,1.0,1,60.97149848937988,9
DriftOnly,noisy_features,1,1,1.0,1,59.19981002807617,10
DriftOnly,noisy_features,1,1,1.0,1,60.69374084472656,11
DriftOnly,noisy_features,1,1,1.0,1,60.0895881652832,12
DriftOnly,noisy_features,1,1,1.0,1,60.95075607299805,13
DriftOnly,noisy_features,1,1,1.0,1,62.3629093170166,14
DriftOnly,noisy_features,1,1,1.0,1,63.14444541931152,15
DriftOnly,noisy_features,1,1,1.0,1,64.89419937133789,16
DriftOnly,noisy_features,1,1,1.0,1,65.15216827392578,17
DriftOnly,noisy_features,1,1,1.0,1,65.53888320922852,18
DriftOnly,noisy_features,1,1,1.0,1,64.46313858032227,19
DriftOnly,missing_data,1,1,1.0,1,37.75811195373535,0
DriftOnly,missing_data,1,1,1.0,1,35.84408760070801,1
DriftOnly,missing_data,1,1,1.0,1,35.29691696166992,2
DriftOnly,missing_data,1,1,1.0,1,35.4306697845459,3
DriftOnly,missing_data,1,1,1.0,1,36.03076934814453,4
DriftOnly,missing_data,1,1,1.0,1,35.462379455566406,5
DriftOnly,missing_data,1,1,1.0,1,36.18621826171875,6
DriftOnly,missing_data,1,1,1.0,1,35.323143005371094,7
DriftOnly,missing_data,1,1,1.0,1,40.00496864318848,8
DriftOnly,missing_data,1,1,1.0,1,39.145708084106445,9
DriftOnly,missing_data,1,1,1.0,1,36.47041320800781,10
DriftOnly,missing_data,1,1,1.0,1,36.396026611328125,11
DriftOnly,missing_data,1,1,1.0,1,36.948442459106445,12
DriftOnly,missing_data,1,1,1.0,1,39.09707069396973,13
DriftOnly,missing_data,1,1,1.0,1,38.13910484313965,14
DriftOnly,missing_data,1,1,1.0,1,39.02554512023926,15
DriftOnly,missing_data,1,1,1.0,1,37.94670104980469,16
DriftOnly,missing_data,1,1,1.0,1,36.39841079711914,17
DriftOnly,missing_data,1,1,1.0,1,35.886287689208984,18
DriftOnly,missing_data,1,1,1.0,1,39.20769691467285,19
DriftOnly,ood_samples,1,1,1.0,1,81.61520957946777,0
DriftOnly,ood_samples,1,1,1.0,1,84.02323722839355,1
DriftOnly,ood_samples,1,1,1.0,1,77.79169082641602,2
DriftOnly,ood_samples,1,1,1.0,1,77.29673385620117,3
DriftOnly,ood_samples,1,1,1.0,1,76.83801651000977,4
DriftOnly,ood_samples,1,1,1.0,1,77.82769203186035,5
DriftOnly,ood_samples,1,1,1.0,1,80.59048652648926,6
DriftOnly,ood_samples,1,1,1.0,1,76.81155204772949,7
DriftOnly,ood_samples,1,1,1.0,1,78.2155990600586,8
DriftOnly,ood_samples,1,1,1.0,1,78.74083518981934,9
DriftOnly,ood_samples,1,1,1.0,1,78.88054847717285,10
DriftOnly,ood_samples,1,1,1.0,1,80.30366897583008,11
DriftOnly,ood_samples,1,1,1.0,1,77.27527618408203,12
DriftOnly,ood_samples,1,1,1.0,1,84.22517776489258,13
DriftOnly,ood_samples,1,1,1.0,1,82.26323127746582,14
DriftOnly,ood_samples,1,1,1.0,1,78.5531997680664,15
DriftOnly,ood_samples,1,1,1.0,1,86.33971214294434,16
DriftOnly,ood_samples,1,1,1.0,1,76.9660472869873,17
DriftOnly,ood_samples,1,1,1.0,1,77.33917236328125,18
DriftOnly,ood_samples,1,1,1.0,1,76.68948173522949,19
DriftOnly,corrupted_data,1,1,1.0,1,25.925874710083008,0
DriftOnly,corrupted_data,1,1,1.0,1,25.420665740966797,1
DriftOnly,corrupted_data,1,1,1.0,1,25.441408157348633,2
DriftOnly,corrupted_data,1,1,1.0,1,25.255680084228516,3
DriftOnly,corrupted_data,1,1,1.0,1,26.463031768798828,4
DriftOnly,corrupted_data,1,1,1.0,1,26.743650436401367,5
DriftOnly,corrupted_data,1,1,1.0,1,26.856660842895508,6
DriftOnly,corrupted_data,1,1,1.0,1,26.020288467407227,7
DriftOnly,corrupted_data,1,1,1.0,1,26.803016662597656,8
DriftOnly,corrupted_data,1,1,1.0,1,26.57032012939453,9
DriftOnly,corrupted_data,1,1,1.0,1,27.915239334106445,10
DriftOnly,corrupted_data,1,1,1.0,1,29.287099838256836,11
DriftOnly,corrupted_data,1,1,1.0,1,28.883695602416992,12
DriftOnly,corrupted_data,1,1,1.0,1,25.304555892944336,13
DriftOnly,corrupted_data,1,1,1.0,1,26.55816078186035,14
DriftOnly,corrupted_data,1,1,1.0,1,25.549650192260742,15
DriftOnly,corrupted_data,1,1,1.0,1,28.25188636779785,16
DriftOnly,corrupted_data,1,1,1.0,1,25.59041976928711,17
DriftOnly,corrupted_data,1,1,1.0,1,26.812076568603516,18
DriftOnly,corrupted_data,1,1,1.0,1,25.508403778076172,19
UncertaintyOnly,no_failure,0,0,0.09823639190529143,1,58.34698677062988,0
UncertaintyOnly,no_failure,0,0,0.09533716856839201,1,57.60502815246582,1
UncertaintyOnly,no_failure,0,0,0.08930857559766009,1,58.3643913269043,2
UncertaintyOnly,no_failure,0,0,0.09937991358292236,1,59.63921546936035,3
UncertaintyOnly,no_failure,0,0,0.09032771203487328,1,57.68418312072754,4
UncertaintyOnly,no_failure,0,0,0.10393042212494707,1,57.80029296875,5
UncertaintyOnly,no_failure,0,0,0.0961817880932003,1,58.545827865600586,6
UncertaintyOnly,no_failure,0,0,0.09939442282174954,1,57.43145942687988,7
UncertaintyOnly,no_failure,0,0,0.10080882006118716,1,56.43773078918457,8
UncertaintyOnly,no_failure,0,0,0.10183879766062404,1,55.19390106201172,9
UncertaintyOnly,no_failure,0,0,0.09304140148696122,1,57.07383155822754,10
UncertaintyOnly,no_failure,0,0,0.10248429646281058,1,58.54535102844238,11
UncertaintyOnly,no_failure,0,0,0.09287018453665419,1,57.92069435119629,12
UncertaintyOnly,no_failure,0,0,0.0980947026828011,1,57.21592903137207,13
UncertaintyOnly,no_failure,0,0,0.09836176157714893,1,56.03313446044922,14
UncertaintyOnly,no_failure,0,0,0.09746795331620989,1,58.42423439025879,15
UncertaintyOnly,no_failure,0,0,0.10095222463904105,1,56.76698684692383,16
UncertaintyOnly,no_failure,0,0,0.09725727009648512,1,59.65018272399902,17
UncertaintyOnly,no_failure,0,0,0.10025898605935682,1,56.113481521606445,18
UncertaintyOnly,no_failure,0,0,0.09185493167677883,1,57.31344223022461,19
UncertaintyOnly,data_drift,1,1,0.6325709572260327,1,57.13367462158203,0
UncertaintyOnly,data_drift,1,1,0.6469671645226514,1,57.977914810180664,1
UncertaintyOnly,data_drift,1,1,0.6407476089859319,1,60.709476470947266,2
UncertaintyOnly,data_drift,1,1,0.6389012469381781,1,57.74831771850586,3
UncertaintyOnly,data_drift,1,1,0.6428902233045082,1,56.90932273864746,4
UncertaintyOnly,data_drift,1,1,0.6527392699421624,1,57.29866027832031,5
UncertaintyOnly,data_drift,1,1,0.636730482015853,1,57.53278732299805,6
UncertaintyOnly,data_drift,1,1,0.6466634261722899,1,57.40189552307129,7
UncertaintyOnly,data_drift,1,1,0.6487309253784294,1,57.08456039428711,8
UncertaintyOnly,data_drift,1,1,0.6447410737292107,1,57.068824768066406,9
UncertaintyOnly,data_drift,1,1,0.6366899936597312,1,58.18605422973633,10
UncertaintyOnly,data_drift,1,1,0.6406379164305159,1,57.88993835449219,11
UncertaintyOnly,data_drift,1,1,0.6446865482809812,1,59.60536003112793,12
UncertaintyOnly,data_drift,1,1,0.6447714332232106,1,57.210683822631836,13
UncertaintyOnly,data_drift,1,1,0.638747792130471,1,56.42509460449219,14
UncertaintyOnly,data_drift,1,1,0.6466320280949638,1,58.64071846008301,15
UncertaintyOnly,data_drift,1,1,0.6407827009324962,1,59.41605567932129,16
UncertaintyOnly,data_drift,1,1,0.6388476760018569,1,57.99055099487305,17
UncertaintyOnly,data_drift,1,1,0.6326717975998182,1,57.306528091430664,18
UncertaintyOnly,data_drift,1,1,0.6505164441186384,1,56.09941482543945,19
UncertaintyOnly,noisy_features,1,1,0.9872553867102509,1,57.04832077026367,0
UncertaintyOnly,noisy_features,1,1,0.9831536580764502,1,56.4723014831543,1
UncertaintyOnly,noisy_features,1,1,0.9893204084009124,1,57.70516395568848,2
UncertaintyOnly,noisy_features,1,1,0.9912585027111618,1,57.56020545959473,3
UncertaintyOnly,noisy_features,1,1,0.983124680534943,1,55.275678634643555,4
UncertaintyOnly,noisy_features,1,1,0.9912974801040867,1,57.19566345214844,5
UncertaintyOnly,noisy_features,1,1,0.9852215745223893,1,60.35256385803223,6
